skills
python
PYTHON
JAVA
java
c++
C++
cpp
CPP
Cpp
Ruby
rubby 
r    
R
java script
Java Script 
JAVA SCRIPT
JAVASCRIPT
javascript
JavaScript
c language
C language
C-language
c-language 
C-LANGUAGE
c#
C#
C sharp
Csharp
Objective C
OBJECTIVE C
Objective c
objective c
objective C
embedded c
embeddedc
Embedded C
swift
Swift
dart
DART
Dart
HTML
html
Html
swift
SWIFT
Swift
PHP
Kotlin
KOTLIN
kotlin
MATLAB
Perl
perl
Rust
rust
Rust
Scala
scala
SCALA
.net
.NET
Web development
Web Development
web development
Android App Development
android app development
flutter 
flutter 
"ALGOL 58		"
ALGOL 60
ALGOL 68
ALGOL W
Machine Learning 
machine learning 
Artificial Intelligence
artificial intelligence
BASH
bash
COBOL
IOT
Cyber Security
cyber security
CYBER SECURITY
augmented reality
Augmented Reality
Augmentedreality
Virtual Reality
virtual reality
AR  
VR
SQL
My SQL
MYSQL
mysql
my sql
MongoDb
mongodb
MONGODB
MongoDB
oracle sql
Oracle Sql
Fire Base
React
Node.js
MERN stack
mern stack 
Angular
MERn
angular
Angular.js
angular.js
MEAN stack
mean stack
Automation 
Data Analytics
Data analytics
Data Visualization
Data visualisation
Data Analysis
Data Analysys
Data base
cognitive thinking 
problem solver
